scorer,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000
bodyparts,pupil1,pupil1,pupil1,pupil2,pupil2,pupil2,pupil3,pupil3,pupil3,pupil4,pupil4,pupil4,eyelid,eyelid,eyelid
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
74,341.89385986328125,148.43553161621094,1.0,353.8499755859375,174.28005981445312,1.0,356.0464172363281,156.5460662841797,1.0,339.7428894042969,165.85935974121094,1.0,304.3050537109375,134.5200958251953,1.0
75,342.3908386230469,148.6044464111328,1.0,353.8591003417969,173.9763946533203,1.0,355.9002685546875,156.76133728027344,1.0,339.88958740234375,165.97900390625,1.0,305.1814880371094,134.38682556152344,1.0
76,342.17510986328125,148.14642333984375,1.0,352.9236145019531,172.90713500976562,1.0,355.990234375,156.19444274902344,1.0,339.5910949707031,165.58290100097656,1.0,303.9261169433594,136.05072021484375,1.0
77,342.35162353515625,148.33111572265625,1.0,352.7254638671875,172.8436737060547,1.0,356.04779052734375,156.33912658691406,1.0,339.87017822265625,165.6251220703125,1.0,303.8659362792969,135.39366149902344,1.0
78,342.15289306640625,148.14085388183594,1.0,353.9244384765625,174.0838165283203,1.0,356.0404052734375,156.50979614257812,1.0,340.10858154296875,165.8854522705078,1.0,304.3693542480469,135.22178649902344,1.0
79,342.667236328125,148.23609924316406,1.0,353.07952880859375,172.91738891601562,1.0,355.8803405761719,156.56100463867188,1.0,340.491455078125,165.77337646484375,1.0,304.40423583984375,135.58290100097656,1.0
80,342.8690490722656,148.00848388671875,1.0,354.0955505371094,173.83917236328125,1.0,356.304443359375,156.37313842773438,1.0,340.0788269042969,165.60427856445312,1.0,303.912353515625,135.6076202392578,1.0
81,342.7064208984375,148.36224365234375,1.0,353.1140441894531,172.98660278320312,1.0,356.0865783691406,156.46981811523438,1.0,340.3564453125,165.92477416992188,1.0,304.5936279296875,135.15879821777344,1.0
82,342.7431945800781,148.15286254882812,1.0,352.85833740234375,172.72152709960938,1.0,356.11651611328125,156.52914428710938,1.0,340.04595947265625,165.80397033691406,1.0,304.88934326171875,134.39183044433594,1.0
83,342.8605041503906,148.565185546875,1.0,353.8666076660156,174.1367950439453,1.0,356.4747009277344,156.7911376953125,1.0,340.3197937011719,165.91737365722656,1.0,304.2468566894531,135.87307739257812,1.0
